transaction,count
"['item_1', 'item_9', 'item_15', 'item_16', 'item_19', 'item_21', 'item_22', 'item_24', 'item_27', 'item_28', 'item_30', 'item_36']",4
"['item_2', 'item_3', 'item_8', 'item_9', 'item_13', 'item_19', 'item_20', 'item_22', 'item_24', 'item_28', 'item_30', 'item_32']",8
"['item_2', 'item_6', 'item_9', 'item_13', 'item_19', 'item_24', 'item_28', 'item_30', 'item_32', 'item_34']",5
"['item_1', 'item_2', 'item_4', 'item_9', 'item_13', 'item_15', 'item_17', 'item_18', 'item_19', 'item_21', 'item_24', 'item_27', 'item_28', 'item_30', 'item_32', 'item_35', 'item_36', 'item_38']",11
"['item_2', 'item_6', 'item_9', 'item_13', 'item_15', 'item_17', 'item_19', 'item_20', 'item_24', 'item_28', 'item_30', 'item_32', 'item_34', 'item_35']",7
"['item_2', 'item_6', 'item_10', 'item_13', 'item_24', 'item_29', 'item_32', 'item_33', 'item_34', 'item_35']",7
"['item_2', 'item_6', 'item_9', 'item_13', 'item_19', 'item_24', 'item_28', 'item_29', 'item_30', 'item_32', 'item_34', 'item_36', 'item_38']",14
"['item_1', 'item_2', 'item_5', 'item_6', 'item_9', 'item_13', 'item_15', 'item_21', 'item_22', 'item_25', 'item_26', 'item_27', 'item_32', 'item_34', 'item_36']",6
"['item_0', 'item_1', 'item_2', 'item_6', 'item_7', 'item_9', 'item_11', 'item_14', 'item_18', 'item_20', 'item_23', 'item_34', 'item_37']",1
"['item_1', 'item_6', 'item_9', 'item_16', 'item_19', 'item_21', 'item_24', 'item_27', 'item_28', 'item_30', 'item_33', 'item_34', 'item_35', 'item_36']",4
"['item_1', 'item_2', 'item_9', 'item_13', 'item_19', 'item_21', 'item_24', 'item_27', 'item_28', 'item_30', 'item_32', 'item_36']",6
"['item_1', 'item_2', 'item_3', 'item_9', 'item_11', 'item_13', 'item_15', 'item_19', 'item_21', 'item_22', 'item_24', 'item_27', 'item_28', 'item_29', 'item_30', 'item_36', 'item_38']",10
"['item_3', 'item_9', 'item_11', 'item_19', 'item_24', 'item_27', 'item_28', 'item_30']",7
"['item_0', 'item_1', 'item_2', 'item_4', 'item_6', 'item_8', 'item_9', 'item_13', 'item_19', 'item_21', 'item_24', 'item_27', 'item_28', 'item_30', 'item_32', 'item_34', 'item_36']",13
"['item_1', 'item_2', 'item_3', 'item_6', 'item_9', 'item_12', 'item_13', 'item_14', 'item_17', 'item_19', 'item_21', 'item_24', 'item_25', 'item_27', 'item_28', 'item_30', 'item_32', 'item_36']",13
"['item_1', 'item_2', 'item_6', 'item_9', 'item_12', 'item_13', 'item_19', 'item_21', 'item_23', 'item_24', 'item_27', 'item_28', 'item_30', 'item_32', 'item_34', 'item_36']",9
"['item_1', 'item_2', 'item_5', 'item_6', 'item_10', 'item_13', 'item_21', 'item_27', 'item_32', 'item_34', 'item_35', 'item_36']",5
